id,date,action,amount,coin,domain
"RVqzLL6ggm1QdQVZolwH8IMdsjM2oWpO","2025-12-23 22:05:34","placeBid","-959","HNS","8it"
"1QANi4ecK6nDF2IQd2kw5PV3j6arccRH","2025-12-18 19:15:01","renewTLD","","","webmeal"
"VnCSJHAY2gmFVN22sFfBhvhhP8qIOfkZ","2025-12-18 19:15:01","renewTLD","","","earthgleam"
"eazCF5IxuXWnU0OCyCh2hXvB2oEtOgUM","2025-12-18 19:15:01","renewTLD","","","teaorange"
"Cw85AfXMBsN2TZLIkzolt0eAZj2bi8eD","2025-12-18 19:15:01","renewTLD","","","mapactive"
"zwbqYVUCZfMSDzWJh3mHOek5DC5xZ2LI","2025-12-18 02:43:05","renewTLD","","","cryptospare"
"ziNy1I2XILcwZ4IdWlDJa3TNqZgvWf05","2025-12-18 02:43:05","renewTLD","","","mothballnft"
"2GQ0aow8szzGn9hT08RRKYnU8pDbJ8Af","2025-12-18 02:43:05","renewTLD","","","jobofwork"
"589gdm4nnDosxaQBETAFnRzlaC8seb1j","2025-12-18 02:43:05","renewTLD","","","xn--prrz31l"
"SF89MKzpQ3i7FL2bx4axLQb5hANDHg7R","2025-12-18 02:43:05","renewTLD","","","matchwedding"
"RbDGTJcsoa3XdSTVx2MgJWXkkJNCoMfI","2025-12-18 02:43:05","renewTLD","","","goldsilverstandard"
"hy4gJNNqg8HYHzQHWsbUSKyyNxjnO0mZ","2025-12-18 02:43:05","renewTLD","","","xn--x8t30ksr4c"
"gL2KGuKdJdTJt9I9ZTwp6iJ0CV7i5eKS","2025-12-18 02:43:05","renewTLD","","","pricedefi"
"SWOVGXQ143aFiRLio7RNa9PzPaEBMw61","2025-12-18 02:43:05","renewTLD","","","savagekingdom"
"mJHNlbj0yj3gZbQiKIfOYelc3eo9XzeK","2025-12-18 02:43:05","renewTLD","","","canihavethat"
"4w4dlerqn7SMrysuzivPCn0kCjSUMEHR","2025-12-18 02:43:05","renewTLD","","","allmugs"
"KjWpmgWEZyfVpoS60VoVgFKov7xKFMG8","2025-12-18 02:43:05","renewTLD","","","silonft"
"rrAdxbC4PlnWiarOukUfen29GscDK2nD","2025-12-18 02:43:05","renewTLD","","","statcorner"
"YN1KL2HkdUwvEnUNHyPOWIgUCeYQlSjj","2025-12-18 02:43:05","renewTLD","","","xn--g77hwa02n"
"Ud7g3vXejKd457c97DkI6wVX5dWd5AZj","2025-12-18 02:43:04","renewTLD","","","conductasurvey"
"vhGxBhpsZ9oeB1RtzVF7lWmvyka28RG7","2025-12-18 02:43:04","renewTLD","","","xn--fiqrep10a7ue"
"k40FYJBT3jR2CTFR6MeZkE3hjutZGjS9","2025-12-18 02:43:04","renewTLD","","","xn--g02a"
"A19Q0lezOCJsaas8cTIdgqTjnZ1QnWFG","2025-12-18 02:43:04","renewTLD","","","xn--qn8h4ih0j"
"k2YpsgZzC63KkHGt669d8Ic6FfvAO6f0","2025-12-18 02:43:04","renewTLD","","","xn--p5t330d"
"hqjzrGDv1hDOuy52HzHGnUycySbcd5ZT","2025-12-18 02:43:04","renewTLD","","","xn--69qa8270d"
"eqKsx7JkFOFEOGaQzO4UNmiqzUEqkvio","2025-12-18 02:43:04","renewTLD","","","findigo"
"aOUCgT4iC1gv4XYZf37o1Wy7zYpnUn8w","2025-12-18 02:43:04","renewTLD","","","meditime"
"illncWyetuFUoXLlCb1OdCUyN2eCs4aG","2025-12-18 02:43:04","renewTLD","","","pacificwine"
"qH2svxaHZOezakpRzlBfyOdHg0uH6xv0","2025-12-18 02:43:04","renewTLD","","","goodbasics"
"JKOoBiJzsLP8u5kC7eSPcZ3LoDDwTrbM","2025-12-18 02:43:04","renewTLD","","","spacemanyang"
"FdfnkOhMXRCIdbJRPGXmjPEz4G59sNoD","2025-12-18 02:43:04","renewTLD","","","fux4"
"mamRrUTaHftJqciptd24w9gvmOItVBWQ","2025-12-18 02:43:04","renewTLD","","","usualcrypto"
"PmOXRbwInud0veOskqtib6XvZTac1QgD","2025-12-18 02:43:04","renewTLD","","","thegeekchic"
"xePQjWRO3k5QTNC7k66oNBwqkJIjZgRn","2025-12-18 02:43:04","renewTLD","","","voidnft"
"Rso5rcLs2obtFKUcOF1lT6nmsT3F7v9Y","2025-12-18 02:43:04","renewTLD","","","eatsshootsandleaves"
"B5HTM1QzTxlk7aj6FqFlugWaBCO4Wspl","2025-12-18 02:43:04","renewTLD","","","costumemania"
"5nf1nqMqlbMFYaqVtc6Bq5BhIXfuddLe","2025-12-18 02:43:04","renewTLD","","","xn--qn8h4iq8b"
"u0JnLTBX8zWWaEofYOKE8b6NnVETxF0r","2025-12-18 02:43:04","renewTLD","","","memetales"
"7sjkmQy3zBF1XCqeak2P3dDzm8GOAiSU","2025-12-18 02:43:04","renewTLD","","","justgeneric"
"Ms5jFYqeKha0gyuQ5jycgHGCKDDcXuPj","2025-12-18 02:43:04","renewTLD","","","grooveon"
"B31nEYoGB7OrW0HULvNdnwZihbqCFnmW","2025-12-18 02:43:04","renewTLD","","","cloudokids"
"qiuXhTejlBIxayg8IgPboqyuxl2LESkG","2025-12-18 02:43:04","renewTLD","","","ouratlas"
"UjffUq6RHFSOrAyH9qFcqaOQqNZJ3sDU","2025-12-18 02:43:04","renewTLD","","","mywreck"
"WjFfo4q5ZlC0FlU5Rfax34aerLoz3Itd","2025-12-18 02:43:04","renewTLD","","","xn--ihqur60ar5y"
"FSKPjjlQ4ZviySUoz4H3PpILOJ84lFv6","2025-12-18 02:43:04","renewTLD","","","motheranddaughter"
"q9AI0xYkV2O7BRn0KU8FveduhszlYE3V","2025-12-18 02:43:04","renewTLD","","","sunseason"
